name,reclat,reclong,mass (g),year,family
Grüneberg,51.93333,15.5,1000.0,1841.0,Chondrite — Ordinary
Grzempach,52.86667,16.63333,690.0,1910.0,Chondrite — Ordinary
Gualeguaychú,-33.0,-58.61667,22000.0,1932.0,Chondrite — Ordinary
Guangmingshan,39.80417,122.76389,2910.0,1996.0,Chondrite — Ordinary
Guangnan,24.1,105.0,,1983.0,Chondrite — Ordinary
Guangrao,37.1,118.4,1900.0,1980.0,Chondrite — Ordinary
Guareña,38.73333,-6.01667,39000.0,1892.0,Chondrite — Ordinary
Guêa,43.76667,20.23333,1915.0,1891.0,Other / Ungrouped
Guibga,13.5,-0.68333,288.0,1972.0,Chondrite — Ordinary
Guidder,9.91667,13.98333,968.0,1949.0,Chondrite — Ordinary
Gujargaon,22.98333,76.05,2449.0,1982.0,Chondrite — Ordinary
Gujba,11.49167,11.65833,100000.0,1984.0,Chondrite — Carbonaceous
Gumoschnik,42.9,24.7,5700.0,1904.0,Chondrite — Ordinary
Gurram Konda,13.78333,78.56667,28.0,1814.0,Chondrite — Ordinary
Gursum,9.36667,42.41667,34650.0,1981.0,Chondrite — Ordinary
Gütersloh,51.91667,8.38333,1000.0,1851.0,Chondrite — Ordinary
Gyokukei,35.0,127.5,1320.0,1930.0,Other / Ungrouped
Hachi-oji,35.65,139.33333,0.2,1817.0,Chondrite — Ordinary
Hainaut,50.31667,3.73333,9000.0,1934.0,Chondrite — Ordinary
Hallingeberg,57.81667,16.23333,1456.0,1944.0,Chondrite — Ordinary
Hamlet,41.38333,-86.6,3710.0,1959.0,Chondrite — Ordinary
Haraiya,26.8,82.53333,1000.0,1878.0,Achondrite — HED
Haripura,28.38333,75.78333,315.0,1921.0,Chondrite — Carbonaceous
Harleton,32.675,-94.51167,8360.0,1961.0,Chondrite — Ordinary
Harrison County,38.25,-86.16667,680.0,1859.0,Chondrite — Ordinary
Hashima,35.2945,136.70033,1110.6,1910.0,Chondrite — Ordinary
Hassi-Jekna,28.95,0.81667,1250.0,1890.0,Iron meteorite
Hatford,51.65,-1.51667,29000.0,1628.0,Other / Ungrouped
Haverö,60.24556,22.06194,1544.0,1971.0,Achondrite — Primitive/Other
Hedeskoga,55.46667,13.78333,3500.0,1922.0,Chondrite — Ordinary
Hedjaz,27.33333,35.66667,6100.0,1910.0,Chondrite — Ordinary
Heredia,10.0,-84.1,1000.0,1857.0,Chondrite — Ordinary
