name,reclat,reclong,mass (g),year,family
Dar al Gani 396,27.8185,15.92733,388.0,1998.0,Chondrite — Ordinary
Yamato 981031,-71.54694,35.40194,185.8,1998.0,Achondrite — Lunar
Yamato 793592,-71.5,35.66667,31.99,1979.0,Achondrite — Primitive/Other
Allan Hills 82144,-77.04713,157.28227,7.3,1982.0,Chondrite — Ordinary
Yamato 791741,-71.5,35.66667,11.23,1979.0,Chondrite — Ordinary
Dar al Gani 822,26.97633,16.4675,44.2,2000.0,Chondrite — Ordinary
Northwest Africa 2616,0.0,0.0,106.5,2004.0,Chondrite — Ordinary
Pecora Escarpment 91266,-85.69089,-69.03401,27.8,1991.0,Chondrite — Ordinary
Acfer 191,27.7,4.3,188.0,1990.0,Chondrite — Ordinary
Yamato 792534,-71.5,35.66667,40.3,1979.0,Chondrite — Ordinary
Northwest Africa 5026,0.0,0.0,2073.0,2007.0,Chondrite — Ordinary
Asuka 881243,-72.0,26.0,124.18,1988.0,Chondrite — Ordinary
Jiddat al Harasis 601,19.64415,55.73958,59.8,2009.0,Chondrite — Ordinary
Lewis Cliff 85327,-84.26611,161.31667,439.4,1985.0,Chondrite — Ordinary
Lewis Cliff 85385,-84.27188,161.31281,12.9,1985.0,Chondrite — Ordinary
Yamato 86618,-71.5,35.66667,1.17,1986.0,Chondrite — Ordinary
Queen Alexandra Range 93008,-84.59071,162.24734,2.9,1993.0,Achondrite — HED
Lewis Cliff 86129,-84.25699,161.41762,7.0,1986.0,Chondrite — Ordinary
Frontier Mountain 03057,-72.95275,160.45725,61.0,2003.0,Chondrite — Ordinary
Yamato 792815,-71.5,35.66667,5.4,1979.0,Chondrite — Ordinary
Yamato 74564,0.0,35.66667,8.51,1974.0,Chondrite — Ordinary
Grosvenor Mountains 95655,-85.66667,175.0,11.6,1995.0,Chondrite — Ordinary
Meteorite Hills 00802,-79.68333,155.75,81.2,2000.0,Chondrite — Ordinary
Río Cuarto 001,-32.87167,-64.22333,62.7,,Achondrite — HED
Dhofar 633,19.10727,54.60727,43.0,2001.0,Chondrite — Ordinary
Northwest Africa 3239,0.0,0.0,685.0,2006.0,Chondrite — Ordinary
El Médano 138,-24.85,-70.53333,17.9,2011.0,Chondrite — Ordinary
Elephant Moraine 83386,-76.29139,157.15333,37.8,1983.0,Chondrite — Ordinary
Yamato 982171,0.0,0.0,8.99,1998.0,Chondrite — Ordinary
Yamato 86221,-71.5,35.66667,6.02,1986.0,Chondrite — Ordinary
Yamato 982400,0.0,0.0,4.96,1998.0,Chondrite — Ordinary
Asuka 881017,-72.0,26.0,825.36,1988.0,Chondrite — Ordinary
Yamato 86272,-71.5,35.66667,110.69,1986.0,Chondrite — Ordinary
Northwest Africa 6140,0.0,0.0,5102.4,2002.0,Chondrite — Ordinary
Queen Alexandra Range 97985,-84.0,168.0,16.2,1997.0,Chondrite — Ordinary
Österplana 021,58.58333,13.43333,,1997.0,Other / Ungrouped
Elephant Moraine 90050,-76.26568,156.4887,4.1,1990.0,Chondrite — Carbonaceous
Yamato 81055,-71.5,35.66667,1.87,1981.0,Chondrite — Ordinary
